Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
0.0,12.751,21.102,16.521,21.779,19.844
0.0,0.0,0.0,0.0,7.353,2.277
0.0,1.4,3.948,9.352,4.408,7.11
9.926,18.294,17.29,12.062,15.467,18.209
0.0,0.0,0.0,0.0,7.922,3.329
3.278,10.017,7.457,5.522,6.685,8.812
17.461,20.608,19.56,14.767,15.089,18.939
0.0,0.0,0.0,0.0,10.907,7.469
13.785,15.612,11.577,5.768,9.889,16.086
