cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,19,12,19,19,24
22,b_av,-,-,109,43,132
22,b_se,70,32,120,114,137
22,b_sk,5,0,57,11,132
22,b_sesk,71,32,131,117,137
79,fixed,28,0,25,20,33
79,b_av,-,-,130,25,221
79,b_se,171,145,206,180,225
79,b_sk,38,34,39,38,221
79,b_sesk,207,179,220,206,225
89,fixed,67,36,177,96,298
89,b_av,-,-,278,53,306
89,b_se,120,53,299,268,309
89,b_sk,1,0,84,13,306
89,b_sesk,121,53,306,272,309
190,fixed,191,88,288,186,698
190,b_av,-,-,265,32,572
190,b_se,139,26,333,211,581
190,b_sk,133,70,197,98,572
190,b_sesk,235,96,462,299,581
191,fixed,134,76,158,122,571
191,b_av,-,-,172,11,453
191,b_se,100,26,286,163,457
191,b_sk,107,54,135,69,456
191,b_sesk,186,80,380,228,460
