cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,6,0,23,20,23
22,b_av,-,-,15,0,132
22,b_se,30,5,70,38,137
22,b_sk,3,0,8,3,132
22,b_sesk,33,5,77,41,137
79,fixed,33,0,33,22,33
79,b_av,-,-,40,0,221
79,b_se,48,5,142,68,225
79,b_sk,1,0,5,1,221
79,b_sesk,49,5,144,69,225
89,fixed,88,20,124,104,281
89,b_av,-,-,207,110,303
89,b_se,68,37,168,89,306
89,b_sk,103,45,226,159,303
89,b_sesk,160,82,271,215,306
190,fixed,686,500,694,654,697
190,b_av,-,-,137,26,561
190,b_se,207,18,260,161,570
190,b_sk,56,10,103,45,561
190,b_sesk,252,28,314,194,570
191,fixed,568,380,569,524,571
191,b_av,-,-,78,6,453
191,b_se,146,6,172,83,457
191,b_sk,27,2,68,17,456
191,b_sesk,169,8,216,100,460
