cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,14,1,24,24,24
22,b_av,-,-,112,30,132
22,b_se,76,52,136,128,137
22,b_sk,5,0,39,11,132
22,b_sesk,76,52,137,128,137
79,fixed,26,0,24,18,33
79,b_av,-,-,49,0,221
79,b_se,127,68,212,169,225
79,b_sk,0,0,6,0,221
79,b_sesk,127,68,213,169,225
89,fixed,189,36,273,247,297
89,b_av,-,-,236,40,306
89,b_se,186,94,305,295,309
89,b_sk,6,0,53,13,306
89,b_sesk,189,94,308,301,309
190,fixed,592,507,608,567,697
190,b_av,-,-,258,52,571
190,b_se,220,98,355,184,579
190,b_sk,135,88,165,117,571
190,b_sesk,299,186,449,285,579
191,fixed,466,353,480,425,570
191,b_av,-,-,166,27,453
191,b_se,170,77,301,147,457
191,b_sk,89,40,105,57,456
191,b_sesk,224,117,363,195,460
