cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.08333333333333333,0.0,0.20833333333333334,0.125
22,b_av,-,-,0.9465648854961832,0.4961832061068702
22,b_se,0.6470588235294118,0.16176470588235295,0.8308823529411765,0.8308823529411765
22,b_sk,0.17557251908396945,0.07633587786259542,0.6641221374045801,0.2900763358778626
22,b_sesk,0.8014705882352942,0.23529411764705882,1.0,1.0
79,fixed,0.09090909090909091,0.0,0.0,0.0
79,b_av,-,-,0.3167420814479638,0.013574660633484163
79,b_se,0.1688888888888889,0.08888888888888889,0.84,0.3511111111111111
79,b_sk,0.18099547511312217,0.0,0.20361990950226244,0.16289592760180996
79,b_sesk,0.3466666666666667,0.08888888888888889,0.9688888888888889,0.5066666666666667
89,fixed,0.003355704697986577,0.003355704697986577,0.18120805369127516,0.020134228187919462
89,b_av,-,-,0.9771241830065359,0.4869281045751634
89,b_se,0.7669902912621359,0.2168284789644013,0.9288025889967637,0.9223300970873787
89,b_sk,0.06535947712418301,0.029411764705882353,0.5882352941176471,0.13398692810457516
89,b_sesk,0.8252427184466019,0.2459546925566343,1.0,0.9805825242718447
190,fixed,0.2636103151862464,0.0014326647564469914,0.5372492836676218,0.3151862464183381
190,b_av,-,-,0.5856643356643356,0.1660839160839161
190,b_se,0.5370051635111877,0.25645438898450945,0.9156626506024096,0.6041308089500861
190,b_sk,0.18181818181818182,0.0472027972027972,0.32167832167832167,0.18706293706293706
190,b_sesk,0.6419965576592083,0.3029259896729776,0.9862306368330465,0.7349397590361446
191,fixed,0.2504378283712785,0.0,0.4886164623467601,0.29071803852889666
191,b_av,-,-,0.5827814569536424,0.11479028697571744
191,b_se,0.5689277899343544,0.2735229759299781,0.912472647702407,0.649890590809628
191,b_sk,0.1337719298245614,0.05482456140350877,0.2741228070175439,0.09868421052631579
191,b_sesk,0.6369565217391304,0.32608695652173914,0.9717391304347827,0.7282608695652174
