cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,10,0,19,16,24
22,b_av,-,-,81,15,132
22,b_se,53,45,96,80,137
22,b_sk,0,0,37,4,132
22,b_sesk,53,45,111,81,137
79,fixed,14,0,23,5,33
79,b_av,-,-,58,7,221
79,b_se,58,48,86,60,225
79,b_sk,20,0,59,23,221
79,b_sesk,75,48,134,82,225
89,fixed,11,0,74,18,291
89,b_av,-,-,167,43,306
89,b_se,103,83,188,138,309
89,b_sk,4,0,119,41,306
89,b_sesk,107,83,260,174,309
190,fixed,573,350,593,535,697
190,b_av,-,-,173,21,572
190,b_se,125,56,188,99,581
190,b_sk,114,63,224,106,572
190,b_sesk,224,119,376,202,581
191,fixed,441,248,476,414,570
191,b_av,-,-,102,9,453
191,b_se,99,47,139,84,457
191,b_sk,80,32,153,61,456
191,b_sesk,174,79,276,142,460
