cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,2,0,19,14,23
22,b_av,-,-,126,58,131
22,b_se,84,36,113,111,136
22,b_sk,32,6,86,38,131
22,b_sesk,106,42,136,135,136
79,fixed,18,4,27,7,33
79,b_av,-,-,66,10,221
79,b_se,107,41,203,160,225
79,b_sk,28,2,38,33,221
79,b_sesk,132,43,221,190,225
89,fixed,72,24,183,111,295
89,b_av,-,-,254,15,297
89,b_se,176,66,270,250,300
89,b_sk,6,0,46,16,297
89,b_sesk,182,66,296,266,300
190,fixed,322,201,426,298,689
190,b_av,-,-,162,12,558
190,b_se,229,99,438,317,567
190,b_sk,56,11,52,30,558
190,b_sesk,260,110,474,347,567
191,fixed,241,109,315,207,571
191,b_av,-,-,154,9,447
191,b_se,229,96,393,313,451
191,b_sk,41,3,40,20,450
191,b_sesk,249,99,423,330,454
