cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.17391304347826086,0.0,0.6521739130434783,0.2608695652173913
22,b_av,-,-,0.2230769230769231,0.038461538461538464
22,b_se,0.08148148148148149,0.0,0.23703703703703705,0.14074074074074075
22,b_sk,0.09230769230769231,0.0,0.34615384615384615,0.23846153846153847
22,b_sesk,0.17037037037037037,0.0,0.5037037037037037,0.34814814814814815
79,fixed,0.24242424242424243,0.030303030303030304,0.18181818181818182,0.06060606060606061
79,b_av,-,-,0.03619909502262444,0.0
79,b_se,0.08444444444444445,0.022222222222222223,0.2,0.07555555555555556
79,b_sk,0.00904977375565611,0.0,0.167420814479638,0.06334841628959276
79,b_sesk,0.09333333333333334,0.022222222222222223,0.36444444444444446,0.13777777777777778
89,fixed,0.05802047781569966,0.017064846416382253,0.2593856655290102,0.10238907849829351
89,b_av,-,-,0.13804713804713806,0.013468013468013467
89,b_se,0.18333333333333332,0.08,0.4666666666666667,0.3233333333333333
89,b_sk,0.006734006734006734,0.0,0.05387205387205387,0.020202020202020204
89,b_sesk,0.19,0.08,0.5,0.33666666666666667
190,fixed,0.22687861271676302,0.07514450867052024,0.2861271676300578,0.16618497109826588
190,b_av,-,-,0.25886524822695034,0.01950354609929078
190,b_se,0.35602094240837695,0.22338568935427575,0.4816753926701571,0.34554973821989526
190,b_sk,0.10638297872340426,0.008865248226950355,0.2375886524822695,0.07624113475177305
190,b_sesk,0.44502617801047123,0.23211169284467714,0.6701570680628273,0.41710296684118675
191,fixed,0.2754385964912281,0.08596491228070176,0.35964912280701755,0.18947368421052632
191,b_av,-,-,0.26327433628318586,0.011061946902654867
191,b_se,0.35526315789473684,0.25877192982456143,0.4298245614035088,0.34868421052631576
191,b_sk,0.1010989010989011,0.006593406593406593,0.2945054945054945,0.07472527472527472
191,b_sesk,0.43137254901960786,0.2636165577342048,0.6884531590413944,0.41612200435729846
