node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
>=5<10,fixed,-,0.9697674418604652,0.8860465116279069,0.4476744186046512,0.9011627906976745,0.6441860465116279
>=5<10,b_av,-,-,-,-,0.6608946608946609,0.1774891774891775
<=5<10,b_sesk,-,0.9691689008042895,0.8310991957104558,0.5536193029490617,0.839142091152815,0.6916890080428955
>=10<20,fixed,0.9140401146131805,0.8359598853868195,0.7593123209169055,0.5229226361031518,0.8760744985673352,0.7886819484240688
>=10<20,b_av,-,-,-,-,0.3983095615425251,0.14474379292128897
>=10<20,b_sesk,0.899492385786802,0.6060913705583756,0.4446700507614213,0.24720812182741117,0.733502538071066,0.5304568527918782
>=20,fixed,0.7719688542825361,0.6885428253615128,0.6218020022246941,0.43270300333704115,0.8131256952169077,0.7308120133481646
>=20,b_av,-,-,-,-,0.35640495867768596,0.10847107438016529
>=20,b_sesk,0.6843100189035917,0.44045368620037806,0.31190926275992437,0.14083175803402648,0.7608695652173914,0.5245746691871456
