cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.17391304347826086,0.043478260869565216,0.17391304347826086,0.17391304347826086
22,b_av,-,-,0.5833333333333334,0.030303030303030304
22,b_se,0.40145985401459855,0.24087591240875914,0.7226277372262774,0.583941605839416
22,b_sk,0.007575757575757576,0.0,0.08333333333333333,0.030303030303030304
22,b_sesk,0.40875912408759124,0.24087591240875914,0.7737226277372263,0.5985401459854015
79,fixed,0.36363636363636365,0.030303030303030304,0.3939393939393939,0.12121212121212122
79,b_av,-,-,0.5927601809954751,0.0
79,b_se,0.6844444444444444,0.27555555555555555,0.9288888888888889,0.7955555555555556
79,b_sk,0.013574660633484163,0.0,0.0,0.0
79,b_sesk,0.6844444444444444,0.27555555555555555,0.9288888888888889,0.7955555555555556
89,fixed,0.16835016835016836,0.06734006734006734,0.531986531986532,0.2558922558922559
89,b_av,-,-,0.6045751633986928,0.0032679738562091504
89,b_se,0.7152103559870551,0.44983818770226536,0.9255663430420712,0.8025889967637541
89,b_sk,0.0,0.0,0.02287581699346405,0.0032679738562091504
89,b_sesk,0.7152103559870551,0.44983818770226536,0.941747572815534,0.8058252427184466
190,fixed,0.23809523809523808,0.12698412698412698,0.25252525252525254,0.1673881673881674
190,b_av,-,-,0.2682060390763766,0.04085257548845471
190,b_se,0.4807692307692308,0.24475524475524477,0.8513986013986014,0.4493006993006993
190,b_sk,0.06571936056838366,0.017761989342806393,0.07104795737122557,0.019538188277087035
190,b_sesk,0.486013986013986,0.26223776223776224,0.8688811188811189,0.46853146853146854
191,fixed,0.2679509632224168,0.14010507880910683,0.27845884413309985,0.18213660245183888
191,b_av,-,-,0.2638580931263858,0.03547671840354767
191,b_se,0.47912087912087914,0.23736263736263735,0.9120879120879121,0.5516483516483517
191,b_sk,0.08590308370044053,0.022026431718061675,0.07048458149779736,0.024229074889867842
191,b_sesk,0.4912663755458515,0.2576419213973799,0.9366812227074236,0.5698689956331878
