cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,0,0,23,10,23
22,b_av,-,-,49,2,132
22,b_se,56,11,124,83,137
22,b_sk,0,0,7,2,132
22,b_sesk,56,11,126,84,137
79,fixed,32,14,33,29,33
79,b_av,-,-,127,17,221
79,b_se,118,54,222,155,225
79,b_sk,5,0,32,10,221
79,b_sesk,119,54,222,157,225
89,fixed,84,15,286,177,292
89,b_av,-,-,172,30,302
89,b_se,169,117,279,228,305
89,b_sk,12,0,48,20,302
89,b_sesk,176,117,290,239,305
190,fixed,679,644,689,683,692
190,b_av,-,-,302,60,560
190,b_se,214,90,372,262,569
190,b_sk,96,12,196,56,560
190,b_sesk,289,102,449,304,569
191,fixed,563,546,565,557,566
191,b_av,-,-,155,12,453
191,b_se,137,61,276,131,457
191,b_sk,42,3,83,13,456
191,b_sesk,175,64,328,143,460
