node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,836,781,321,789,523,854
>=5<10,b_av,-,-,-,-,377,75,697
>=5<10,b_sesk,-,730,629,391,637,479,748
>=10<20,fixed,1307,1200,1060,618,1248,1121,1376
>=10<20,b_av,-,-,-,-,1312,563,1899
>=10<20,b_sesk,1958,1767,1448,625,1878,1631,1982
>=20,fixed,786,762,702,461,792,772,885
>=20,b_av,-,-,-,-,745,345,969
>=20,b_sesk,1032,951,790,330,1046,999,1058
