cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,4,0,19,14,20
22,b_av,-,-,39,0,132
22,b_se,108,58,134,130,137
22,b_sk,0,0,0,0,132
22,b_sesk,108,58,134,130,137
79,fixed,33,0,33,11,33
79,b_av,-,-,173,98,221
79,b_se,193,32,217,197,225
79,b_sk,100,60,116,98,221
79,b_sesk,214,92,225,221,225
89,fixed,240,57,288,280,289
89,b_av,-,-,275,126,305
89,b_se,275,220,301,300,308
89,b_sk,23,3,127,56,305
89,b_sesk,280,223,304,303,308
190,fixed,664,429,686,612,692
190,b_av,-,-,320,85,567
190,b_se,353,141,505,398,576
190,b_sk,55,0,144,50,567
190,b_sesk,385,141,521,413,576
191,fixed,553,347,570,511,571
191,b_av,-,-,261,49,453
191,b_se,225,105,383,290,457
191,b_sk,23,0,99,23,456
191,b_sesk,241,105,407,296,460
