node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,450,127,7,123,14,880
>=5<10,b_av,-,-,-,-,346,50,723
>=5<10,b_sesk,-,759,665,376,698,500,776
>=10<20,fixed,1060,392,201,3,670,266,1428
>=10<20,b_av,-,-,-,-,843,176,1921
>=10<20,b_sesk,1996,1772,1090,415,1963,1365,1999
>=20,fixed,459,186,99,2,556,327,919
>=20,b_av,-,-,-,-,613,251,975
>=20,b_sesk,1041,795,512,151,1056,950,1064
