cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,19,9,22,22,23
22,b_av,-,-,83,0,132
22,b_se,104,68,133,133,137
22,b_sk,0,0,0,0,132
22,b_sesk,104,68,133,133,137
79,fixed,10,0,11,2,33
79,b_av,-,-,142,13,221
79,b_se,175,41,207,177,225
79,b_sk,5,0,27,6,221
79,b_sesk,180,41,218,182,225
89,fixed,27,10,203,39,298
89,b_av,-,-,264,74,305
89,b_se,250,165,301,290,308
89,b_sk,6,0,85,21,305
89,b_sesk,256,165,307,298,308
190,fixed,601,237,651,542,698
190,b_av,-,-,365,99,571
190,b_se,263,156,377,229,580
190,b_sk,202,100,235,185,571
190,b_sesk,376,256,491,371,580
191,fixed,484,120,526,425,571
191,b_av,-,-,214,38,453
191,b_se,184,115,292,170,457
191,b_sk,109,50,133,92,456
191,b_sesk,251,165,379,238,460
