node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,719,482,239,473,305,874
>=5<10,b_av,-,-,-,-,344,50,710
>=5<10,b_sesk,-,753,660,358,656,482,762
>=10<20,fixed,769,398,318,130,443,359,1420
>=10<20,b_av,-,-,-,-,700,82,1893
>=10<20,b_sesk,1874,1191,822,333,1656,986,1969
>=20,fixed,300,152,119,56,400,219,912
>=20,b_av,-,-,-,-,299,30,969
>=20,b_sesk,696,293,182,69,819,453,1059
