Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
0.0,85.16,60.12,21.6,61.38,35.09
0.0,0.0,0.0,0.0,45.15,6.6
0.0,97.03,84.44,47.13,85.95,59.84
77.6,58.12,48.1,21.6,62.71,52.39
0.0,0.0,0.0,0.0,34.6,5.01
93.72,61.86,46.9,24.47,77.95,52.57
56.22,42.55,34.6,15.88,62.73,48.34
0.0,0.0,0.0,0.0,46.6,7.09
77.75,48.66,38.05,22.48,84.48,59.65
