Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
0.0,5.16,8.841,10.409,10.085,9.537
0.0,0.0,0.0,0.0,11.887,3.246
0.0,1.879,5.809,15.237,6.132,12.361
17.255,23.373,22.428,15.285,23.787,23.033
0.0,0.0,0.0,0.0,9.295,1.801
4.344,13.812,14.422,12.686,11.116,15.473
25.864,23.42,21.337,14.389,25.453,24.352
0.0,0.0,0.0,0.0,14.918,5.093
14.785,21.135,19.517,16.56,11.386,18.213
