cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.16666666666666666,0.0,0.2916666666666667,0.20833333333333334
22,b_av,-,-,0.48484848484848486,0.11363636363636363
22,b_se,0.051094890510948905,0.0,0.5620437956204379,0.1897810218978102
22,b_sk,0.007575757575757576,0.0,0.49242424242424243,0.2196969696969697
22,b_sesk,0.058394160583941604,0.0,0.8321167883211679,0.35766423357664234
79,fixed,0.15151515151515152,0.0,0.06060606060606061,0.030303030303030304
79,b_av,-,-,0.4751131221719457,0.02262443438914027
79,b_se,0.02666666666666667,0.0,0.38222222222222224,0.07555555555555556
79,b_sk,0.18099547511312217,0.004524886877828055,0.6923076923076923,0.23529411764705882
79,b_sesk,0.20444444444444446,0.0044444444444444444,0.8177777777777778,0.29777777777777775
89,fixed,0.11486486486486487,0.05405405405405406,0.3614864864864865,0.19594594594594594
89,b_av,-,-,0.8333333333333334,0.11437908496732026
89,b_se,0.04854368932038835,0.006472491909385114,0.22006472491909385,0.0744336569579288
89,b_sk,0.6078431372549019,0.3300653594771242,0.9705882352941176,0.8464052287581699
89,b_sesk,0.6504854368932039,0.3333333333333333,0.9902912621359223,0.889967637540453
190,fixed,0.15616045845272206,0.04871060171919771,0.1833810888252149,0.0988538681948424
190,b_av,-,-,0.664323374340949,0.15641476274165203
190,b_se,0.17993079584775087,0.12283737024221453,0.3166089965397924,0.16608996539792387
190,b_sk,0.6748681898066784,0.24253075571177504,0.827768014059754,0.655536028119508
190,b_sesk,0.7785467128027682,0.3615916955017301,0.9238754325259516,0.773356401384083
191,fixed,0.17192982456140352,0.05087719298245614,0.21403508771929824,0.1
191,b_av,-,-,0.5827814569536424,0.08609271523178808
191,b_se,0.17943107221006566,0.12910284463894967,0.2538293216630197,0.15317286652078774
191,b_sk,0.6710526315789473,0.2565789473684211,0.8092105263157895,0.6425438596491229
191,b_sesk,0.7847826086956522,0.3826086956521739,0.9282608695652174,0.7717391304347826
