node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
>=5<10,fixed,-,0.7888631090487239,0.3863109048723898,0.14385150812064965,0.388631090487239,0.18793503480278423
>=5<10,b_av,-,-,-,-,0.4639321074964639,0.07920792079207921
<=5<10,b_sesk,-,0.9357798165137615,0.7640891218872871,0.4325032765399738,0.7771952817824378,0.5425950196592398
>=10<20,fixed,0.6544428772919605,0.3081805359661495,0.2461212976022567,0.11636107193229901,0.3392101551480959,0.2644569816643159
>=10<20,b_av,-,-,-,-,0.5689473684210526,0.09421052631578947
>=10<20,b_sesk,0.9762746087834427,0.7985865724381626,0.596668349318526,0.22009086320040383,0.8919737506309945,0.6845027763755679
>=20,fixed,0.21460176991150443,0.16482300884955753,0.12721238938053098,0.061946902654867256,0.26327433628318586,0.18584070796460178
>=20,b_av,-,-,-,-,0.7551440329218106,0.13271604938271606
>=20,b_sesk,0.9105461393596986,0.6214689265536724,0.4472693032015066,0.2080979284369115,0.955743879472693,0.7919020715630886
