cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,16,3,23,22,24
22,b_av,-,-,127,48,132
22,b_se,41,15,118,96,137
22,b_sk,25,0,99,40,132
22,b_sesk,63,15,137,118,137
79,fixed,12,0,12,6,33
79,b_av,-,-,110,16,221
79,b_se,28,16,82,32,225
79,b_sk,95,51,130,110,221
79,b_sesk,117,67,188,138,225
89,fixed,35,0,163,73,298
89,b_av,-,-,229,72,304
89,b_se,75,40,258,144,307
89,b_sk,40,8,147,103,304
89,b_sesk,109,48,294,220,307
190,fixed,275,115,388,240,693
190,b_av,-,-,198,22,566
190,b_se,194,82,271,159,575
190,b_sk,147,37,170,112,566
190,b_sesk,314,119,405,268,575
191,fixed,187,40,270,149,565
191,b_av,-,-,162,11,452
191,b_se,147,78,218,127,456
191,b_sk,102,29,128,73,455
191,b_sesk,232,107,328,197,459
