node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
>=5<10,fixed,-,0.813441483198146,0.49130938586326767,0.11587485515643106,0.4901506373117034,0.25608342989571264
>=5<10,b_av,-,-,-,-,0.4264919941775837,0.08442503639010189
<=5<10,b_sesk,-,0.9633152173913043,0.8220108695652174,0.37092391304347827,0.8668478260869565,0.5421195652173914
>=10<20,fixed,0.8125884016973126,0.47029702970297027,0.3408769448373409,0.09264497878359264,0.5636492220650636,0.3896746817538897
>=10<20,b_av,-,-,-,-,0.3707033315705976,0.053939714436805924
>=10<20,b_sesk,0.9034062023385867,0.6395526182003051,0.45754956786985257,0.15607524148449414,0.8129130655821047,0.5195729537366548
>=20,fixed,0.39473684210526316,0.22916666666666666,0.17214912280701755,0.06140350877192982,0.47149122807017546,0.3157894736842105
>=20,b_av,-,-,-,-,0.4346473029045643,0.13900414937759337
>=20,b_sesk,0.6242884250474383,0.3681214421252372,0.21916508538899432,0.07020872865275142,0.6916508538899431,0.5009487666034156
