node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,774,709,537,726,612,788
>=5<10,b_av,-,-,-,-,219,34,668
>=5<10,b_sesk,-,667,510,129,525,237,717
>=10<20,fixed,1181,1027,968,852,1104,978,1319
>=10<20,b_av,-,-,-,-,1060,387,1853
>=10<20,b_sesk,1765,1370,1201,624,1514,1253,1933
>=20,fixed,628,557,526,466,658,580,863
>=20,b_av,-,-,-,-,528,191,947
>=20,b_sesk,797,695,652,388,861,732,1036
