cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,0,0,1,0,10
22,b_av,-,-,37,6,132
22,b_se,54,22,74,70,137
22,b_sk,1,0,10,4,132
22,b_sesk,55,22,78,71,137
79,fixed,12,0,12,0,13
79,b_av,-,-,152,72,221
79,b_se,135,9,175,135,225
79,b_sk,98,65,111,99,221
79,b_sesk,184,74,207,184,225
89,fixed,30,5,182,67,284
89,b_av,-,-,120,26,293
89,b_se,167,77,198,176,296
89,b_sk,21,7,57,27,293
89,b_sesk,181,84,233,193,296
190,fixed,676,550,693,660,696
190,b_av,-,-,166,26,542
190,b_se,218,65,242,188,551
190,b_sk,76,1,141,45,542
190,b_sesk,278,66,340,211,551
191,fixed,569,503,570,547,571
191,b_av,-,-,201,27,451
191,b_se,251,99,283,219,455
191,b_sk,67,0,116,13,454
191,b_sesk,302,99,356,227,458
