cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,19,4,23,22,23
22,b_av,-,-,122,11,132
22,b_se,118,100,137,126,137
22,b_sk,0,0,8,0,132
22,b_sesk,118,100,137,126,137
79,fixed,24,0,23,18,33
79,b_av,-,-,120,1,221
79,b_se,201,168,206,201,225
79,b_sk,0,0,5,0,221
79,b_sesk,201,168,208,201,225
89,fixed,100,6,185,138,296
89,b_av,-,-,283,42,306
89,b_se,266,236,301,277,309
89,b_sk,1,0,40,6,306
89,b_sesk,267,236,304,280,309
190,fixed,360,21,465,352,698
190,b_av,-,-,317,35,562
190,b_se,318,186,410,336,571
190,b_sk,94,41,120,61,562
190,b_sesk,376,227,474,383,571
191,fixed,269,0,397,258,571
191,b_av,-,-,234,20,450
191,b_se,254,130,352,291,454
191,b_sk,69,18,90,32,453
191,b_sesk,307,148,413,314,457
