cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,21,3,23,22,23
22,b_av,-,-,65,10,132
22,b_se,26,3,82,47,137
22,b_sk,22,6,64,50,132
22,b_sesk,45,9,131,91,137
79,fixed,18,1,23,4,33
79,b_av,-,-,67,2,221
79,b_se,41,12,111,38,225
79,b_sk,32,19,64,33,221
79,b_sesk,73,31,168,71,225
89,fixed,47,4,143,89,295
89,b_av,-,-,151,22,306
89,b_se,74,29,250,141,309
89,b_sk,7,2,67,20,306
89,b_sesk,81,31,275,154,309
190,fixed,305,143,363,237,695
190,b_av,-,-,186,8,568
190,b_se,223,133,295,206,577
190,b_sk,57,1,75,37,568
190,b_sesk,272,134,352,242,577
191,fixed,207,77,265,156,569
191,b_av,-,-,167,6,452
191,b_se,178,124,228,171,456
191,b_sk,48,1,60,27,455
191,b_sesk,216,125,279,196,459
