cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,12,0,21,17,21
22,b_av,-,-,46,18,132
22,b_se,37,17,66,54,137
22,b_sk,14,2,49,33,132
22,b_sesk,49,19,95,78,137
79,fixed,28,5,30,12,32
79,b_av,-,-,78,13,221
79,b_se,42,22,68,40,225
79,b_sk,82,34,109,86,221
79,b_sesk,113,56,158,121,225
89,fixed,15,1,151,69,290
89,b_av,-,-,155,76,305
89,b_se,99,67,137,113,308
89,b_sk,91,21,213,147,305
89,b_sesk,175,88,272,222,308
190,fixed,684,499,691,641,697
190,b_av,-,-,225,54,564
190,b_se,204,149,251,191,573
190,b_sk,75,11,208,63,564
190,b_sesk,239,160,375,245,573
191,fixed,568,413,568,523,571
191,b_av,-,-,167,51,452
191,b_se,156,127,191,151,456
191,b_sk,57,4,176,48,455
191,b_sesk,176,131,298,189,459
