node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,762,473,78,509,205,858
>=5<10,b_av,-,-,-,-,231,27,705
>=5<10,b_sesk,-,700,567,225,558,348,754
>=10<20,fixed,1281,1009,775,263,1092,899,1403
>=10<20,b_av,-,-,-,-,763,126,1917
>=10<20,b_sesk,1785,1104,851,421,1355,948,1997
>=20,fixed,694,526,387,145,746,605,912
>=20,b_av,-,-,-,-,593,110,975
>=20,b_sesk,760,493,373,195,806,633,1065
