node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,783,566,263,601,363,872
>=5<10,b_av,-,-,-,-,490,72,707
>=5<10,b_sesk,-,747,701,566,721,596,755
>=10<20,fixed,1189,951,741,337,1028,837,1402
>=10<20,b_av,-,-,-,-,860,123,1911
>=10<20,b_sesk,1960,1497,1206,928,1803,1342,1991
>=20,fixed,611,435,332,155,704,519,896
>=20,b_av,-,-,-,-,633,179,972
>=20,b_sesk,960,722,633,552,996,802,1062
