node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
>=5<10,fixed,-,0.8979357798165137,0.6490825688073395,0.30160550458715596,0.6892201834862385,0.41628440366972475
>=5<10,b_av,-,-,-,-,0.693069306930693,0.10183875530410184
<=5<10,b_sesk,-,0.9894039735099338,0.928476821192053,0.7496688741721854,0.9549668874172186,0.7894039735099337
>=10<20,fixed,0.848074179743224,0.6783166904422254,0.5285306704707561,0.24037089871611983,0.7332382310984308,0.5970042796005706
>=10<20,b_av,-,-,-,-,0.4500261643118786,0.06436420722135008
>=10<20,b_sesk,0.9844299347061778,0.7518834756403817,0.6057257659467604,0.46609743847312907,0.9055750878955299,0.6740331491712708
>=20,fixed,0.6819196428571429,0.48549107142857145,0.3705357142857143,0.17299107142857142,0.7857142857142857,0.5792410714285714
>=20,b_av,-,-,-,-,0.6512345679012346,0.18415637860082304
>=20,b_sesk,0.903954802259887,0.67984934086629,0.596045197740113,0.519774011299435,0.9378531073446328,0.7551789077212806
