cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,7,1,20,10,22
22,b_av,-,-,90,18,132
22,b_se,121,116,137,135,137
22,b_sk,7,0,16,9,132
22,b_sesk,121,116,137,135,137
79,fixed,25,12,28,19,33
79,b_av,-,-,57,0,221
79,b_se,204,133,219,204,225
79,b_sk,2,0,4,2,221
79,b_sesk,206,133,222,206,225
89,fixed,13,1,177,57,286
89,b_av,-,-,298,109,304
89,b_se,279,269,301,297,307
89,b_sk,9,6,106,60,304
89,b_sesk,285,275,305,302,307
190,fixed,458,180,600,473,697
190,b_av,-,-,318,67,572
190,b_se,277,199,410,258,581
190,b_sk,94,41,154,68,572
190,b_sesk,320,240,474,316,581
191,fixed,269,40,424,311,571
191,b_av,-,-,234,24,452
191,b_se,210,143,366,214,456
191,b_sk,60,22,73,32,455
191,b_sesk,234,165,403,240,459
