Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
0.0,8.416,12.619,6.946,14.086,10.788
0.0,0.0,0.0,0.0,9.577,2.658
0.0,2.65,6.837,7.869,7.454,8.991
7.251,8.417,6.289,3.514,9.732,7.096
0.0,0.0,0.0,0.0,11.256,2.602
7.405,12.52,9.681,4.699,11.304,12.157
9.416,8.153,6.641,4.44,9.774,9.358
0.0,0.0,0.0,0.0,18.249,5.263
16.549,14.574,9.897,5.659,14.071,18.175
