cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.0,0.0,1.0,0.45454545454545453
22,b_av,-,-,0.20610687022900764,0.015267175572519083
22,b_se,0.375,0.014705882352941176,0.5735294117647058,0.5367647058823529
22,b_sk,0.022900763358778626,0.0,0.061068702290076333,0.03816793893129771
22,b_sesk,0.39705882352941174,0.014705882352941176,0.6176470588235294,0.5661764705882353
79,fixed,1.0,0.13333333333333333,1.0,1.0
79,b_av,-,-,0.11818181818181818,0.0
79,b_se,0.59375,0.5491071428571429,0.8214285714285714,0.625
79,b_sk,0.01818181818181818,0.0,0.00909090909090909,0.004545454545454545
79,b_sesk,0.6116071428571429,0.5491071428571429,0.8214285714285714,0.6294642857142857
89,fixed,0.0,0.0,0.5539033457249071,0.31970260223048325
89,b_av,-,-,0.4478114478114478,0.18855218855218855
89,b_se,0.35,0.03,0.6166666666666667,0.49333333333333335
89,b_sk,0.08754208754208755,0.026936026936026935,0.38047138047138046,0.26936026936026936
89,b_sesk,0.43666666666666665,0.056666666666666664,0.76,0.64
190,fixed,0.9783236994219653,0.9436416184971098,0.9956647398843931,0.9913294797687862
190,b_av,-,-,0.30091743119266057,0.06972477064220184
190,b_se,0.4755877034358047,0.2911392405063291,0.620253164556962,0.4177215189873418
190,b_sk,0.12293577981651377,0.03669724770642202,0.21100917431192662,0.08073394495412844
190,b_sesk,0.5569620253164557,0.32730560578661844,0.72875226039783,0.4755877034358047
191,fixed,0.9947460595446584,0.9737302977232924,0.9982486865148862,0.9982486865148862
191,b_av,-,-,0.36179775280898874,0.06741573033707865
191,b_se,0.6414253897550112,0.34521158129175944,0.7527839643652561,0.5857461024498887
191,b_sk,0.12723214285714285,0.033482142857142856,0.19642857142857142,0.07589285714285714
191,b_sesk,0.7168141592920354,0.37610619469026546,0.8429203539823009,0.6393805309734514
