cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,0,0,11,5,11
22,b_av,-,-,27,2,131
22,b_se,51,2,78,73,136
22,b_sk,3,0,8,5,131
22,b_sesk,54,2,84,77,136
79,fixed,15,2,15,15,15
79,b_av,-,-,26,0,220
79,b_se,133,123,184,140,224
79,b_sk,4,0,2,1,220
79,b_sesk,137,123,184,141,224
89,fixed,0,0,149,86,269
89,b_av,-,-,133,56,297
89,b_se,105,9,185,148,300
89,b_sk,26,8,113,80,297
89,b_sesk,131,17,228,192,300
190,fixed,677,653,689,686,692
190,b_av,-,-,164,38,545
190,b_se,263,161,343,231,553
190,b_sk,67,20,115,44,545
190,b_sesk,308,181,403,263,553
191,fixed,568,556,570,570,571
191,b_av,-,-,161,30,445
191,b_se,288,155,338,263,449
191,b_sk,57,15,88,34,448
191,b_sesk,324,170,381,289,452
