node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
>=5<10,fixed,-,0.9921875,0.9661458333333334,0.8411458333333334,0.9661458333333334,0.9010416666666666
>=5<10,b_av,-,-,-,-,0.3358208955223881,0.0880597014925373
<=5<10,b_sesk,-,0.9515235457063712,0.7146814404432132,0.30055401662049863,0.7340720221606648,0.4224376731301939
>=10<20,fixed,0.9361370716510904,0.8341121495327103,0.7757009345794392,0.6853582554517134,0.8870716510903427,0.8107476635514018
>=10<20,b_av,-,-,-,-,0.4043803418803419,0.11324786324786325
>=10<20,b_sesk,0.9585253456221198,0.6722990271377368,0.5775729646697388,0.4121863799283154,0.7798259088581669,0.6082949308755761
>=20,fixed,0.7455830388692579,0.6289752650176679,0.5724381625441696,0.519434628975265,0.7832744405182568,0.7161366313309776
>=20,b_av,-,-,-,-,0.4432882414151925,0.12695109261186263
>=20,b_sesk,0.8315889628924833,0.6679352997145576,0.5918173168411037,0.36631779257849667,0.8772597526165556,0.7231208372978116
