node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,789,588,242,616,372,872
>=5<10,b_av,-,-,-,-,250,24,708
>=5<10,b_sesk,-,720,611,334,633,417,754
>=10<20,fixed,1300,1084,960,506,1161,1006,1422
>=10<20,b_av,-,-,-,-,451,61,1913
>=10<20,b_sesk,1681,780,564,298,1139,607,1981
>=20,fixed,651,570,505,249,678,598,906
>=20,b_av,-,-,-,-,318,42,974
>=20,b_sesk,545,207,155,101,649,371,1064
