node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,702,424,100,423,221,863
>=5<10,b_av,-,-,-,-,293,58,687
>=5<10,b_sesk,-,709,605,273,638,399,736
>=10<20,fixed,1149,665,482,131,797,551,1414
>=10<20,b_av,-,-,-,-,701,102,1891
>=10<20,b_sesk,1777,1258,900,307,1599,1022,1967
>=20,fixed,360,209,157,56,430,288,912
>=20,b_av,-,-,-,-,419,134,964
>=20,b_sesk,658,388,231,74,729,528,1054
