node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,764,547,182,554,316,861
>=5<10,b_av,-,-,-,-,393,20,700
>=5<10,b_sesk,-,745,707,360,715,521,754
>=10<20,fixed,1077,603,434,197,719,496,1401
>=10<20,b_av,-,-,-,-,542,51,1889
>=10<20,b_sesk,1864,1280,949,342,1650,1076,1966
>=20,fixed,431,330,258,150,472,392,904
>=20,b_av,-,-,-,-,407,44,960
>=20,b_sesk,772,518,366,170,818,640,1050
