node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,823,724,94,726,403,878
>=5<10,b_av,-,-,-,-,422,79,705
>=5<10,b_sesk,-,740,673,483,679,549,756
>=10<20,fixed,1362,1233,1053,139,1301,1123,1416
>=10<20,b_av,-,-,-,-,935,226,1903
>=10<20,b_sesk,1896,1442,1073,606,1710,1259,1982
>=20,fixed,833,693,571,69,849,771,912
>=20,b_av,-,-,-,-,444,133,971
>=20,b_sesk,789,464,288,153,878,591,1059
