node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
>=5<10,fixed,-,0.9373576309794989,0.8246013667425968,0.1070615034168565,0.826879271070615,0.45899772209567197
>=5<10,b_av,-,-,-,-,0.5985815602836879,0.11205673758865248
>=5<10,b_sesk,-,0.9788359788359788,0.8902116402116402,0.6388888888888888,0.8981481481481481,0.7261904761904762
>=10<20,fixed,0.961864406779661,0.8707627118644068,0.7436440677966102,0.0981638418079096,0.9187853107344632,0.7930790960451978
>=10<20,b_av,-,-,-,-,0.4913294797687861,0.1187598528638991
>=10<20,b_sesk,0.9566094853683148,0.727547931382442,0.541372351160444,0.3057517658930373,0.8627648839556004,0.6352169525731585
>=20,fixed,0.9133771929824561,0.7598684210526315,0.6260964912280702,0.0756578947368421,0.930921052631579,0.8453947368421053
>=20,b_av,-,-,-,-,0.4572605561277034,0.13697219361483007
>=20,b_sesk,0.7450424929178471,0.4381491973559962,0.2719546742209632,0.14447592067988668,0.8290840415486308,0.5580736543909348
