node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,761,580,212,585,303,878
>=5<10,b_av,-,-,-,-,343,64,724
>=5<10,b_sesk,-,743,670,355,670,481,780
>=10<20,fixed,1242,1010,721,123,1096,890,1416
>=10<20,b_av,-,-,-,-,1021,265,1918
>=10<20,b_sesk,1985,1608,1187,344,1883,1394,1999
>=20,fixed,656,432,265,32,729,552,919
>=20,b_av,-,-,-,-,617,184,976
>=20,b_sesk,900,577,439,204,1004,726,1065
