cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,13,3,16,15,23
22,b_av,-,-,122,51,132
22,b_se,83,25,113,111,137
22,b_sk,53,34,76,64,132
22,b_sesk,115,59,137,136,137
79,fixed,25,7,23,21,33
79,b_av,-,-,72,7,221
79,b_se,75,39,178,83,225
79,b_sk,20,6,41,23,221
79,b_sesk,94,45,200,106,225
89,fixed,39,4,131,72,297
89,b_av,-,-,102,20,293
89,b_se,100,49,274,208,296
89,b_sk,4,0,36,10,293
89,b_sesk,104,49,288,218,296
190,fixed,196,89,245,143,689
190,b_av,-,-,155,5,555
190,b_se,228,115,346,218,564
190,b_sk,45,1,56,26,555
190,b_sesk,268,116,383,243,564
191,fixed,150,48,197,110,562
191,b_av,-,-,133,9,444
191,b_se,177,111,279,193,448
191,b_sk,35,0,47,20,447
191,b_sesk,207,111,313,211,451
