node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,735,471,178,508,291,855
>=5<10,b_av,-,-,-,-,343,21,692
>=5<10,b_sesk,-,735,692,350,717,489,743
>=10<20,fixed,870,362,251,77,450,293,1410
>=10<20,b_av,-,-,-,-,481,70,1868
>=10<20,b_sesk,1814,1083,729,228,1474,860,1947
>=20,fixed,181,95,72,22,235,132,908
>=20,b_av,-,-,-,-,261,48,947
>=20,b_sesk,698,384,252,99,751,526,1037
