cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,19,5,19,19,23
22,b_av,-,-,86,21,132
22,b_se,38,15,104,82,137
22,b_sk,0,0,51,8,132
22,b_sesk,38,15,113,87,137
79,fixed,28,18,26,24,33
79,b_av,-,-,65,5,221
79,b_se,38,17,130,34,225
79,b_sk,8,0,28,5,221
79,b_sesk,40,17,147,39,225
89,fixed,67,16,130,82,296
89,b_av,-,-,137,14,306
89,b_se,66,31,250,136,309
89,b_sk,8,1,55,10,306
89,b_sesk,73,32,277,145,309
190,fixed,156,17,176,74,697
190,b_av,-,-,41,0,572
190,b_se,166,33,342,85,581
190,b_sk,8,0,2,0,572
190,b_sesk,173,33,343,85,581
191,fixed,139,11,157,56,569
191,b_av,-,-,42,1,453
191,b_se,144,30,284,78,457
191,b_sk,10,0,5,1,456
191,b_sesk,147,30,287,78,460
