node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
>=5<10,fixed,-,0.8968347010550997,0.6400937866354045,0.30011723329425555,0.6565064478311841,0.4091441969519343
>=5<10,b_av,-,-,-,-,0.5419630156472262,0.08534850640113797
>=5<10,b_sesk,-,0.9592105263157895,0.8486842105263158,0.5381578947368421,0.8789473684210526,0.6644736842105263
>=10<20,fixed,0.9593437945791726,0.8281027104136948,0.6861626248216833,0.2689015691868759,0.8773181169757489,0.7475035663338089
>=10<20,b_av,-,-,-,-,0.4856696195935383,0.13183949973944764
>=10<20,b_sesk,0.9819186338523355,0.8121546961325967,0.6258161727774988,0.2923154193872426,0.9301858362631843,0.7212456052235058
>=20,fixed,0.9323882224645583,0.8157033805888768,0.7164667393675027,0.31406761177753545,0.9520174482006543,0.8789531079607416
>=20,b_av,-,-,-,-,0.7525667351129364,0.2731006160164271
>=20,b_sesk,0.9623706491063029,0.7441204139228599,0.5634995296331138,0.28974600188146754,0.9783631232361242,0.8428974600188147
