cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,4,0,7,5,24
22,b_av,-,-,64,15,132
22,b_se,7,0,77,26,137
22,b_sk,1,0,65,29,132
22,b_sesk,8,0,114,49,137
79,fixed,5,0,2,1,33
79,b_av,-,-,105,5,221
79,b_se,6,0,86,17,225
79,b_sk,40,1,153,52,221
79,b_sesk,46,1,184,67,225
89,fixed,34,16,107,58,296
89,b_av,-,-,255,35,306
89,b_se,15,2,68,23,309
89,b_sk,186,101,297,259,306
89,b_sesk,201,103,306,275,309
190,fixed,109,34,128,69,698
190,b_av,-,-,378,89,569
190,b_se,104,71,183,96,578
190,b_sk,384,138,471,373,569
190,b_sesk,450,209,534,447,578
191,fixed,98,29,122,57,570
191,b_av,-,-,264,39,453
191,b_se,82,59,116,70,457
191,b_sk,306,117,369,293,456
191,b_sesk,361,176,427,355,460
