node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,680,333,124,335,162,862
>=5<10,b_av,-,-,-,-,328,56,707
>=5<10,b_sesk,-,714,583,330,593,414,763
>=10<20,fixed,928,437,349,165,481,375,1418
>=10<20,b_av,-,-,-,-,1081,179,1900
>=10<20,b_sesk,1934,1582,1182,436,1767,1356,1981
>=20,fixed,194,149,115,56,238,168,904
>=20,b_av,-,-,-,-,734,129,972
>=20,b_sesk,967,660,475,221,1015,841,1062
