node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
>=5<10,fixed,-,0.8013620885357549,0.5005675368898979,0.094211123723042,0.49148694665153236,0.2224744608399546
>=5<10,b_av,-,-,-,-,0.28794326241134754,0.032624113475177303
<=5<10,b_sesk,-,0.9853528628495339,0.7749667110519307,0.20505992010652463,0.800266311584554,0.34620505992010653
>=10<20,fixed,0.4926315789473684,0.24140350877192981,0.17403508771929824,0.035789473684210524,0.2631578947368421,0.19087719298245615
>=10<20,b_av,-,-,-,-,0.1691253951527924,0.018967334035827187
>=10<20,b_sesk,0.900253164556962,0.3650632911392405,0.1908860759493671,0.06025316455696202,0.6212658227848101,0.22379746835443037
>=20,fixed,0.14660831509846828,0.11050328227571116,0.09846827133479212,0.020787746170678335,0.1925601750547046,0.12144420131291028
>=20,b_av,-,-,-,-,0.20307692307692307,0.02564102564102564
>=20,b_sesk,0.564319248826291,0.13145539906103287,0.07605633802816901,0.018779342723004695,0.7323943661971831,0.2676056338028169
