node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,706,441,83,433,196,881
>=5<10,b_av,-,-,-,-,203,23,705
>=5<10,b_sesk,-,740,582,154,601,260,751
>=10<20,fixed,702,344,248,51,375,272,1425
>=10<20,b_av,-,-,-,-,321,36,1898
>=10<20,b_sesk,1778,721,377,119,1227,442,1975
>=20,fixed,134,101,90,19,176,111,914
>=20,b_av,-,-,-,-,198,25,975
>=20,b_sesk,601,140,81,20,780,285,1065
