cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,0,0,1,0,23
22,b_av,-,-,132,79,132
22,b_se,34,5,107,82,137
22,b_sk,74,49,115,92,132
22,b_sesk,95,54,137,136,137
79,fixed,3,0,0,0,33
79,b_av,-,-,132,25,221
79,b_se,57,23,134,64,225
79,b_sk,68,14,106,74,221
79,b_sesk,118,37,196,131,225
89,fixed,29,6,124,49,296
89,b_av,-,-,224,33,289
89,b_se,58,16,249,147,292
89,b_sk,34,6,115,63,289
89,b_sesk,90,22,284,203,292
190,fixed,95,29,114,64,691
190,b_av,-,-,298,59,548
190,b_se,144,61,263,126,557
190,b_sk,165,69,294,164,548
190,b_sesk,263,130,453,278,557
191,fixed,90,12,98,41,559
191,b_av,-,-,250,40,440
191,b_se,134,68,238,118,444
191,b_sk,104,35,196,108,443
191,b_sesk,202,103,353,219,447
