cwe,hit_type,Hit3,Hit1,Hit50,Hit30
22,fixed,0.0,0.0,0.043478260869565216,0.0
22,b_av,-,-,1.0,0.5984848484848485
22,b_se,0.24817518248175183,0.0364963503649635,0.781021897810219,0.5985401459854015
22,b_sk,0.5606060606060606,0.3712121212121212,0.8712121212121212,0.696969696969697
22,b_sesk,0.6934306569343066,0.39416058394160586,1.0,0.9927007299270073
79,fixed,0.09090909090909091,0.0,0.0,0.0
79,b_av,-,-,0.5972850678733032,0.11312217194570136
79,b_se,0.25333333333333335,0.10222222222222223,0.5955555555555555,0.28444444444444444
79,b_sk,0.3076923076923077,0.06334841628959276,0.4796380090497738,0.334841628959276
79,b_sesk,0.5244444444444445,0.16444444444444445,0.8711111111111111,0.5822222222222222
89,fixed,0.09797297297297297,0.02027027027027027,0.4189189189189189,0.16554054054054054
89,b_av,-,-,0.7750865051903114,0.11418685121107267
89,b_se,0.19863013698630136,0.0547945205479452,0.8527397260273972,0.5034246575342466
89,b_sk,0.11764705882352941,0.020761245674740483,0.39792387543252594,0.2179930795847751
89,b_sesk,0.3082191780821918,0.07534246575342465,0.9726027397260274,0.6952054794520548
190,fixed,0.13748191027496381,0.041968162083936326,0.1649782923299566,0.09261939218523878
190,b_av,-,-,0.5437956204379562,0.10766423357664233
190,b_se,0.2585278276481149,0.10951526032315978,0.47217235188509876,0.22621184919210055
190,b_sk,0.3010948905109489,0.1259124087591241,0.5364963503649635,0.29927007299270075
190,b_sesk,0.47217235188509876,0.2333931777378815,0.8132854578096947,0.4991023339317774
191,fixed,0.16100178890876565,0.02146690518783542,0.17531305903398928,0.07334525939177101
191,b_av,-,-,0.5681818181818182,0.09090909090909091
191,b_se,0.30180180180180183,0.15315315315315314,0.536036036036036,0.26576576576576577
191,b_sk,0.23476297968397292,0.07900677200902935,0.44243792325056436,0.24379232505643342
191,b_sesk,0.4519015659955257,0.23042505592841164,0.7897091722595079,0.4899328859060403
