node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,514,218,32,209,64,825
>=5<10,b_av,-,-,-,-,377,64,685
>=5<10,b_sesk,-,682,594,302,606,433,740
>=10<20,fixed,780,229,164,30,296,189,1396
>=10<20,b_av,-,-,-,-,815,146,1869
>=10<20,b_sesk,1914,1254,774,263,1669,1020,1949
>=20,fixed,156,60,40,9,219,92,902
>=20,b_av,-,-,-,-,554,170,946
>=20,b_sesk,840,438,260,95,934,606,1036
