cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,10,1,15,11,24
22,b_av,-,-,129,65,132
22,b_se,39,10,111,69,137
22,b_sk,57,5,108,79,132
22,b_sesk,84,15,137,120,137
79,fixed,19,0,19,18,33
79,b_av,-,-,95,5,221
79,b_se,91,0,193,112,225
79,b_sk,49,3,55,43,221
79,b_sesk,137,3,220,154,225
89,fixed,23,9,158,24,298
89,b_av,-,-,285,80,306
89,b_se,101,35,209,140,309
89,b_sk,20,0,240,111,306
89,b_sesk,121,35,306,234,309
190,fixed,468,90,607,444,698
190,b_av,-,-,376,140,572
190,b_se,266,155,352,270,581
190,b_sk,196,52,340,176,572
190,b_sesk,401,207,505,392,581
191,fixed,366,78,475,362,571
191,b_av,-,-,330,89,453
191,b_se,230,149,332,237,457
191,b_sk,112,20,226,99,456
191,b_sesk,311,169,416,308,460
