node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,801,769,596,768,689,824
>=5<10,b_av,-,-,-,-,347,124,671
>=5<10,b_sesk,-,711,626,348,627,445,719
>=10<20,fixed,1190,1113,1078,890,1133,1093,1367
>=10<20,b_av,-,-,-,-,1159,489,1860
>=10<20,b_sesk,1933,1756,1453,684,1909,1576,1935
>=20,fixed,601,571,546,426,601,580,891
>=20,b_av,-,-,-,-,707,278,954
>=20,b_sesk,1029,919,760,396,1030,1008,1043
