cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,18,16,18,18,18
22,b_av,-,-,112,18,132
22,b_se,112,77,137,136,137
22,b_sk,2,0,20,11,132
22,b_sesk,112,77,137,137,137
79,fixed,33,33,33,33,33
79,b_av,-,-,102,8,221
79,b_se,182,161,222,194,225
79,b_sk,1,0,7,0,221
79,b_sesk,182,161,223,194,225
89,fixed,46,37,49,47,280
89,b_av,-,-,236,109,296
89,b_se,229,133,298,281,299
89,b_sk,68,42,114,83,296
89,b_sesk,242,175,299,286,299
190,fixed,683,598,694,682,697
190,b_av,-,-,250,64,548
190,b_se,311,69,477,327,557
190,b_sk,68,2,144,47,548
190,b_sesk,343,71,512,347,557
191,fixed,567,485,568,550,569
191,b_av,-,-,184,15,452
191,b_se,304,43,390,287,456
191,b_sk,25,1,55,8,455
191,b_sesk,321,44,410,289,459
