cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,16,3,22,20,23
22,b_av,-,-,109,41,132
22,b_se,56,33,117,89,137
22,b_sk,21,3,81,34,132
22,b_sesk,72,36,137,108,137
79,fixed,14,2,24,5,33
79,b_av,-,-,69,6,221
79,b_se,57,35,86,55,225
79,b_sk,27,5,80,37,221
79,b_sesk,84,40,158,91,225
89,fixed,61,13,171,111,296
89,b_av,-,-,215,39,305
89,b_se,113,77,275,189,308
89,b_sk,4,0,69,22,305
89,b_sesk,117,77,302,208,308
190,fixed,164,54,248,128,695
190,b_av,-,-,195,15,563
190,b_se,255,148,335,253,571
190,b_sk,54,1,65,30,563
190,b_sesk,300,149,376,281,571
191,fixed,133,28,203,91,563
191,b_av,-,-,177,16,452
191,b_se,209,137,298,218,456
191,b_sk,47,0,50,21,455
191,b_sesk,247,137,329,235,459
