cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,4,0,15,6,23
22,b_av,-,-,29,5,130
22,b_se,11,0,32,19,135
22,b_sk,12,0,45,31,130
22,b_sesk,23,0,68,47,135
79,fixed,8,1,6,2,33
79,b_av,-,-,8,0,221
79,b_se,19,5,45,17,225
79,b_sk,2,0,37,14,221
79,b_sesk,21,5,82,31,225
89,fixed,17,5,76,30,293
89,b_av,-,-,41,4,297
89,b_se,55,24,140,97,300
89,b_sk,2,0,16,6,297
89,b_sesk,57,24,150,101,300
190,fixed,157,52,198,115,692
190,b_av,-,-,146,11,564
190,b_se,204,128,276,198,573
190,b_sk,60,5,134,43,564
190,b_sesk,255,133,384,239,573
191,fixed,157,49,205,108,570
191,b_av,-,-,119,5,452
191,b_se,162,118,196,159,456
191,b_sk,46,3,134,34,455
191,b_sesk,198,121,316,191,459
