node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,674,315,21,340,53,878
>=5<10,b_av,-,-,-,-,253,34,728
>=5<10,b_sesk,-,749,644,208,645,381,783
>=10<20,fixed,1244,939,638,60,1028,787,1428
>=10<20,b_av,-,-,-,-,635,97,1925
>=10<20,b_sesk,1774,1127,815,338,1473,907,2008
>=20,fixed,609,385,260,12,696,515,919
>=20,b_av,-,-,-,-,396,80,977
>=20,b_sesk,627,315,220,119,763,453,1067
