node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%
>=5<10,fixed,-,0.8596491228070176,0.5508771929824562,0.20818713450292398,0.5941520467836258,0.34035087719298246
>=5<10,b_av,-,-,-,-,0.4956647398843931,0.030346820809248554
<=5<10,b_sesk,-,0.9892328398384926,0.9313593539703903,0.47106325706594887,0.9650067294751009,0.65814266487214
>=10<20,fixed,0.6170212765957447,0.25673758865248225,0.17801418439716313,0.05460992907801419,0.3191489361702128,0.2078014184397163
>=10<20,b_av,-,-,-,-,0.2574946466809422,0.03747323340471092
>=10<20,b_sesk,0.9316897791474062,0.5562403697996918,0.37442218798151,0.11710323574730354,0.7570621468926554,0.44170518746789933
>=20,fixed,0.19933920704845814,0.10462555066079295,0.07929515418502203,0.024229074889867842,0.2588105726872247,0.14537444933920704
>=20,b_av,-,-,-,-,0.27560718057022177,0.050686378035902854
>=20,b_sesk,0.6730954676952748,0.3702989392478303,0.24300867888138863,0.09546769527483125,0.7242044358727098,0.5072324011571842
