hit_type,Hit3,Hit1,Hit50%,Hit30%
fixed,0.6907668231611893,0.28763693270735524,0.8375586854460094,0.6560250391236306
b_av,-,-,0.505702364394993,0.09986091794158554
b_sesk,0.6470433639947437,0.376084099868594,0.8783180026281209,0.6819973718791065
