node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,815,659,219,687,385,867
>=5<10,b_av,-,-,-,-,364,75,710
>=5<10,b_sesk,-,737,661,385,674,499,760
>=10<20,fixed,1306,1174,1088,486,1233,1122,1414
>=10<20,b_av,-,-,-,-,880,159,1914
>=10<20,b_sesk,1911,1450,1217,664,1674,1327,1985
>=20,fixed,686,555,460,214,756,589,914
>=20,b_av,-,-,-,-,574,125,971
>=20,b_sesk,938,688,584,382,994,769,1060
