node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,746,577,297,573,406,878
>=5<10,b_av,-,-,-,-,327,70,723
>=5<10,b_sesk,-,736,594,324,612,412,773
>=10<20,fixed,1150,915,791,442,976,862,1427
>=10<20,b_av,-,-,-,-,683,135,1923
>=10<20,b_sesk,1982,1214,856,443,1708,1010,2006
>=20,fixed,716,622,561,371,744,672,919
>=20,b_av,-,-,-,-,484,66,974
>=20,b_sesk,975,448,267,89,1026,664,1064
