cwe,hit_type,Hit3,Hit1,Hit50,Hit30,total
22,fixed,11,7,24,19,24
22,b_av,-,-,130,51,132
22,b_se,95,61,126,120,137
22,b_sk,12,5,57,16,132
22,b_sesk,104,66,137,130,137
79,fixed,17,0,25,8,33
79,b_av,-,-,77,22,221
79,b_se,116,53,206,154,225
79,b_sk,30,17,39,32,221
79,b_sesk,140,70,216,175,225
89,fixed,194,117,262,235,298
89,b_av,-,-,305,176,306
89,b_se,217,112,299,275,309
89,b_sk,57,27,196,91,306
89,b_sesk,243,139,309,294,309
190,fixed,499,182,586,480,697
190,b_av,-,-,415,105,569
190,b_se,230,78,371,221,578
190,b_sk,222,125,331,212,569
190,b_sesk,380,203,536,407,578
191,fixed,283,59,430,318,569
191,b_av,-,-,299,86,451
191,b_se,153,50,312,176,455
191,b_sk,171,99,240,167,454
191,b_sesk,289,149,430,318,458
