node_number,hit_type,Hit10,Hit5,Hit3,Hit1,Hit50%,Hit30%,total
>=5<10,fixed,-,765,546,256,560,349,853
>=5<10,b_av,-,-,-,-,381,60,703
>=5<10,b_sesk,-,729,645,409,668,505,760
>=10<20,fixed,1345,1161,962,377,1230,1048,1402
>=10<20,b_av,-,-,-,-,932,253,1919
>=10<20,b_sesk,1955,1617,1246,582,1852,1436,1991
>=20,fixed,855,748,657,288,873,806,917
>=20,b_av,-,-,-,-,733,266,974
>=20,b_sesk,1023,791,599,308,1040,896,1063
